t,X_1,X_2,X_3
0,50000,2500,0
0.25,50123.5879959128,2501.02499474986,0
0.5,50247.4775856791,2502.04997924947,0
0.75,50371.6694860495,2503.07495349892,0
1,50496.1644153862,2504.09991749831,0
1.25,50620.9630936629,2505.12487124776,0
1.5,50746.0662424623,2506.14981474735,0
1.75,50871.4745849864,2507.17474799719,0
2,50997.1888460617,2508.19967099739,0
2.25,51123.2097521386,2509.22458374803,0
2.5,51249.5380312891,2510.24948624924,0
2.75,51376.1744132171,2511.27437850109,0
3,51503.1196292636,2512.29926050371,0
3.25,51630.3744124064,2513.32413225719,0
3.5,51757.9394972569,2514.34899376162,0
3.75,51885.8156200718,2515.37384501712,0
4,52014.0035187571,2516.39868602378,0
4.25,52142.5039328685,2517.42351678171,0
4.5,52271.3176036078,2518.448337291,0
4.75,52400.445273835,2519.47314755176,0
5,52529.887688072,2520.49794756409,0
5.25,52659.6455925033,2521.52273732809,0
5.5,52789.7197349722,2522.54751684386,0
5.75,52920.1108649928,2523.57228611151,0
6,53050.8197337541,2524.59704513113,0
6.25,53181.8470941204,2525.62179390283,0
6.5,53313.1937006277,2526.6465324267,0
6.75,53444.8603094954,2527.67126070285,0
7,53576.8476786309,2528.69597873139,0
7.25,53709.1565676296,2529.7206865124,0
7.5,53841.7877377716,2530.745384046,0
7.75,53974.7419520332,2531.77007133229,0
8,54108.0199750916,2532.79474837136,0
8.25,54241.6225733249,2533.81941516332,0
8.5,54375.5505148087,2534.84407170826,0
8.75,54509.8045693279,2535.8687180063,0
9,54644.3855083813,2536.89335405753,0
9.25,54779.2941051814,2537.91797986205,0
9.5,54914.5311346513,2538.94259541996,0
9.75,55050.0973734363,2539.96720073138,0
10,55185.9935999087,2540.99179579638,0
10.25,55322.2205941674,2542.01638061509,0
10.5,55458.779138035,2543.0409551876,0
10.75,55595.6700150694,2544.065519514,0
11,55732.8940105682,2545.09007359441,0
11.25,55870.4519115692,2546.11461742892,0
11.5,56008.3445068467,2547.13915101764,0
11.75,56146.5725869233,2548.16367436067,0
12,56285.1369440746,2549.1881874581,0
12.25,56424.0383723295,2550.21269031004,0
12.5,56563.2776674664,2551.23718291659,0
12.75,56702.8556270251,2552.26166527785,0
13,56842.7730503118,2553.28613739393,0
13.25,56983.0307383991,2554.31059926492,0
13.5,57123.629494122,2555.33505089092,0
13.75,57264.5701220905,2556.35949227205,0
14,57405.853428694,2557.38392340838,0
14.25,57547.4802221014,2558.40834430004,0
14.5,57689.4513122574,2559.43275494712,0
14.75,57831.767510895,2560.45715534973,0
15,57974.4296315397,2561.48154550795,0
15.25,58117.4384895098,2562.5059254219,0
15.5,58260.7949019129,2563.53029509167,0
15.75,58404.4996876575,2564.55465451738,0
16,58548.5536674589,2565.57900369911,0
16.25,58692.9576638377,2566.60334263696,0
16.5,58837.7125011175,2567.62767133105,0
16.75,58982.8190054362,2568.65198978148,0
17,59128.2780047514,2569.67629798833,0
17.25,59274.0903288401,2570.70059595172,0
17.5,59420.2568092948,2571.72488367175,0
17.75,59566.7782795364,2572.74916114851,0
18,59713.6555748185,2573.77342838211,0
18.25,59860.8895322276,2574.79768537265,0
18.5,60008.4809906792,2575.82193212023,0
18.75,60156.4307909305,2576.84616862495,0
19,60304.7397755849,2577.87039488691,0
19.25,60453.4087890922,2578.89461090622,0
19.5,60602.4386777445,2579.91881668297,0
19.75,60751.8302896892,2580.94301221727,0
20,60901.5844749334,2581.96719750922,0
20.25,61051.702085344,2582.99137255891,0
20.5,61202.1839746438,2584.01553736646,0
20.75,61353.0309984242,2585.03969193196,0
21,61504.24401415,2586.06383625551,0
21.25,61655.8238811594,2587.08797033721,0
21.5,61807.77146066,2588.11209417717,0
21.75,61960.0876157413,2589.13620777548,0
22,62112.7732113801,2590.16031113225,0
22.25,62265.8291144399,2591.18440424758,0
22.5,62419.2561936675,2592.20848712157,0
22.75,62573.0553197048,2593.23255975431,0
23,62727.2273650949,2594.25662214592,0
23.25,62881.7732042813,2595.2806742965,0
23.5,63036.6937136039,2596.30471620613,0
23.75,63191.9897713118,2597.32874787493,0
24,63347.6622575689,2598.352769303,0
24.25,63503.712054453,2599.37678049043,0
24.5,63660.1400459519,2600.40078143734,0
24.75,63816.9471179766,2601.42477214381,0
25,63974.1341583662,2602.44875260995,0
25.25,64131.7020568875,2603.47272283586,0
25.5,64289.6517052311,2604.49668282165,0
25.75,64447.9839970245,2605.52063256741,0
26,64606.6998278368,2606.54457207324,0
26.25,64765.8000951787,2607.56850133925,0
